"tree_id","species","height_baseline","height_final"
1,"willow",188,192
8,"oak",288,294
19,"fir",410,429
21,"fir",145,167
24,"oak",326,338
25,"willow",313,324
27,"fir",286,300
30,"oak",323,338
31,"fir",133,155
33,"willow",211,222
34,"fir",180,200
41,"oak",278,294
44,"fir",277,300
48,"oak",328,338
53,"willow",342,345
56,"fir",109,127
61,"fir",68,89
71,"oak",341,358
74,"fir",24,35
76,"oak",350,363
87,"oak",424,435
88,"fir",171,195
89,"willow",243,254
92,"willow",337,332
93,"fir",287,307
105,"fir",310,327
115,"oak",244,256
118,"oak",302,317
120,"willow",255,261
129,"fir",275,292
135,"willow",304,312
143,"willow",230,241
144,"oak",194,215
151,"fir",150,171
154,"fir",77,96
157,"willow",208,215
160,"oak",159,170
165,"fir",274,294
167,"fir",166,182
170,"willow",194,201
173,"oak",317,326
187,"willow",208,219
195,"fir",424,446
196,"willow",315,306
197,"willow",335,348
201,"willow",320,324
209,"fir",117,137
216,"willow",230,238
223,"fir",229,248
227,"fir",288,310
236,"fir",285,305
238,"fir",326,310
243,"willow",235,241
248,"oak",241,259
252,"fir",196,225
255,"willow",181,190
267,"fir",175,195
268,"fir",136,157
279,"willow",247,257
281,"fir",185,202
282,"willow",283,291
299,"fir",317,343
327,"oak",246,256
329,"fir",201,223
332,"willow",314,319
341,"fir",216,235
348,"willow",317,320
350,"willow",272,284
357,"oak",257,267
359,"fir",161,180
364,"willow",315,320
365,"oak",291,307
370,"oak",309,314
373,"fir",245,262
378,"willow",307,312
381,"oak",257,271
386,"fir",177,201
395,"oak",349,361
403,"willow",244,241
407,"willow",300,310
420,"oak",487,493
422,"willow",224,234
428,"oak",332,348
431,"oak",308,319
437,"oak",243,255
456,"willow",214,223
459,"willow",241,247
473,"oak",272,287
475,"oak",176,196
476,"oak",301,312
478,"oak",308,321
483,"willow",176,165
493,"willow",316,326
497,"fir",230,247
507,"oak",372,389
510,"fir",273,291
524,"oak",290,300
528,"oak",350,362
531,"fir",138,161
543,"oak",334,349
547,"fir",230,252
551,"oak",389,394
559,"fir",46,59
566,"willow",199,207
570,"fir",156,174
571,"oak",390,404
578,"oak",432,444
579,"oak",344,356
584,"oak",325,340
589,"fir",291,310
601,"oak",264,280
604,"fir",210,241
609,"willow",250,261
626,"fir",269,289
631,"fir",218,236
644,"oak",327,341
652,"fir",250,273
654,"willow",288,296
660,"fir",13,26
663,"oak",294,309
664,"oak",278,292
671,"willow",216,223
674,"fir",246,266
677,"willow",258,269
680,"fir",127,144
684,"fir",191,212
701,"willow",364,373
702,"oak",289,298
708,"fir",-22,-6
716,"willow",225,234
717,"willow",261,268
718,"willow",233,241
722,"willow",334,342
725,"fir",174,192
729,"oak",385,395
739,"willow",261,269
743,"fir",312,336
748,"oak",199,212
750,"oak",330,341
754,"oak",338,340
756,"oak",381,390
757,"willow",298,305
762,"willow",293,303
770,"willow",302,309
773,"oak",265,273
777,"fir",301,319
778,"fir",53,71
785,"willow",295,301
796,"oak",244,252
801,"fir",149,171
807,"fir",246,269
823,"willow",295,308
836,"willow",249,260
839,"oak",337,356
860,"willow",221,226
871,"willow",272,282
875,"fir",185,182
883,"willow",240,252
890,"fir",260,281
898,"willow",234,244
914,"fir",67,81
917,"fir",9,31
935,"oak",198,215
940,"willow",137,143
960,"fir",250,273
963,"oak",475,482
966,"willow",311,315
970,"oak",398,404
986,"oak",262,271
987,"oak",529,536
988,"willow",170,176
998,"oak",346,363
1002,"willow",269,279
1005,"willow",230,236
1006,"fir",204,229
1009,"oak",399,409
1010,"willow",344,350
1012,"oak",286,298
1022,"oak",325,332
1027,"fir",22,39
1031,"oak",390,408
1033,"fir",187,202
1034,"fir",307,300
1036,"oak",352,359
1048,"fir",50,71
1049,"willow",224,236
1055,"fir",163,180
1057,"willow",268,271
1059,"fir",259,278
1077,"oak",447,463
1088,"oak",387,394
1099,"willow",274,280
1102,"oak",289,295
1107,"fir",204,226
1120,"oak",245,260
1129,"willow",253,258
1131,"fir",164,190
1135,"fir",99,114
1136,"willow",267,282
1138,"oak",479,489
1140,"oak",357,372
1143,"fir",101,121
1168,"oak",392,399
1180,"fir",25,50
1185,"willow",250,260
1192,"willow",280,291
1193,"oak",187,204
1200,"willow",238,248
1201,"willow",357,366
1203,"fir",193,217
1208,"willow",315,319
1221,"willow",252,259
1224,"oak",281,278
1226,"fir",210,188
1228,"willow",216,216
1242,"willow",306,309
1244,"willow",295,302
1246,"oak",370,380
1258,"fir",91,113
1261,"willow",200,193
1264,"fir",132,148
1271,"fir",321,343
1284,"oak",425,442
1291,"oak",358,373
1292,"oak",305,318
1296,"willow",289,294
1297,"fir",214,230
1299,"willow",309,313
1300,"willow",248,256
1304,"oak",398,419
1310,"fir",272,287
1313,"willow",289,295
1314,"oak",390,396
1321,"willow",290,295
1324,"willow",282,293
1328,"willow",363,371
1333,"willow",311,321
1335,"willow",216,223
1339,"willow",206,215
1351,"fir",258,283
1359,"fir",96,113
1361,"willow",234,241
1365,"oak",284,297
1367,"fir",170,191
1372,"fir",171,187
1373,"oak",391,402
1376,"willow",240,246
1380,"willow",192,203
1386,"willow",231,237
1392,"oak",377,399
1394,"willow",225,231
1401,"oak",337,344
1408,"oak",346,355
1410,"fir",268,284
1413,"fir",145,164
1438,"willow",238,253
1440,"fir",113,137
1441,"fir",162,180
1442,"willow",229,237
1448,"willow",326,331
1453,"oak",475,481
1455,"willow",288,295
1464,"fir",182,202
1472,"oak",370,382
1483,"oak",329,340
1486,"willow",238,239
1488,"willow",281,293
1501,"willow",197,187
1507,"fir",179,201
1510,"fir",161,182
1517,"oak",316,320
1519,"fir",340,356
1522,"fir",220,242
1523,"oak",356,370
1524,"oak",256,271
1525,"fir",96,123
1528,"oak",416,430
1530,"fir",-169,-155
1553,"oak",355,373
1557,"oak",170,181
1560,"fir",246,278
1564,"oak",410,402
1574,"oak",203,216
1578,"fir",102,134
1590,"fir",142,163
1619,"willow",192,203
1620,"fir",135,131
1621,"willow",244,254
1624,"willow",235,241
1628,"willow",207,217
1648,"willow",313,324
1651,"willow",298,306
1653,"willow",261,265
1656,"oak",390,400
1658,"willow",276,285
1666,"willow",290,301
1667,"fir",21,41
1677,"willow",240,246
1680,"fir",277,298
1704,"oak",422,434
1717,"oak",236,258
1719,"oak",334,349
1722,"fir",264,291
1725,"fir",187,208
1747,"oak",207,222
1749,"oak",406,418
1750,"willow",260,267
1752,"fir",115,134
1761,"fir",123,152
1766,"fir",299,317
1767,"willow",264,273
1772,"willow",262,271
1773,"willow",328,338
1788,"fir",229,251
1797,"willow",310,316
1805,"willow",185,194
1815,"willow",145,152
1818,"oak",366,369
1842,"fir",121,142
1845,"fir",367,388
1850,"oak",255,267
1854,"fir",155,166
1857,"oak",272,283
1867,"willow",352,359
1868,"fir",241,267
1886,"willow",280,283
1894,"oak",314,329
1905,"willow",234,244
1910,"willow",201,206
1915,"willow",213,220
1917,"oak",240,246
1919,"willow",270,268
1920,"oak",465,483
1921,"fir",16,27
1924,"fir",195,210
1926,"willow",291,297
1929,"fir",373,388
1938,"oak",311,319
1945,"oak",310,320
1957,"oak",491,485
1959,"willow",376,384
1983,"fir",179,195
1986,"oak",329,345
1989,"oak",333,334
1999,"willow",230,238
2005,"fir",229,248
2008,"oak",407,417
2017,"oak",287,292
2026,"oak",370,385
2042,"fir",151,177
2048,"fir",212,229
2063,"willow",221,229
2065,"fir",94,120
2074,"fir",30,52
2076,"fir",210,238
2078,"oak",379,394
2082,"willow",245,232
2089,"willow",225,232
2091,"fir",86,104
2092,"willow",254,262
2097,"fir",-78,-71
2105,"willow",253,260
2107,"willow",299,306
2112,"oak",403,418
2114,"fir",188,201
2118,"oak",284,302
2119,"oak",416,424
2150,"oak",327,343
2151,"oak",354,348
2152,"willow",237,246
2156,"fir",28,44
2157,"fir",251,275
2164,"oak",329,343
2167,"willow",247,252
2173,"willow",254,259
2176,"fir",115,137
2187,"fir",90,116
2195,"oak",362,372
2215,"oak",265,277
2216,"fir",99,124
2217,"willow",256,265
2221,"oak",354,372
2224,"willow",255,266
2240,"willow",288,300
2242,"willow",189,194
2245,"fir",233,255
2252,"willow",270,279
2256,"fir",177,189
2260,"oak",187,199
2263,"fir",228,252
