"tree_id","species","height_baseline","height_final"
11,"oak",232,239
15,"willow",280,285
29,"willow",230,237
49,"fir",190,207
51,"fir",98,125
52,"fir",50,80
54,"fir",27,45
73,"willow",219,232
75,"oak",388,396
77,"fir",280,293
96,"willow",163,170
99,"willow",248,251
117,"oak",378,397
121,"oak",230,241
123,"oak",403,418
134,"oak",331,344
137,"willow",246,252
140,"oak",351,361
141,"fir",117,135
142,"willow",254,263
145,"fir",190,207
146,"willow",303,314
148,"willow",299,306
153,"oak",414,432
163,"willow",220,232
166,"oak",404,417
168,"oak",387,395
175,"fir",230,222
181,"fir",306,331
192,"oak",344,363
193,"fir",198,219
198,"oak",146,161
202,"oak",421,430
204,"oak",181,187
214,"fir",102,86
220,"fir",93,110
228,"willow",154,160
230,"oak",486,497
231,"oak",384,402
237,"oak",400,408
251,"fir",143,161
254,"fir",210,230
259,"oak",347,363
261,"fir",235,254
288,"oak",260,273
290,"oak",315,331
292,"fir",114,129
294,"willow",243,252
302,"fir",315,327
310,"willow",238,238
317,"willow",189,196
319,"fir",264,283
324,"oak",435,453
328,"oak",261,273
330,"fir",286,306
331,"fir",5,26
338,"willow",304,310
345,"oak",485,500
346,"fir",343,369
347,"oak",423,437
358,"oak",369,379
360,"oak",411,425
367,"willow",223,231
376,"fir",227,246
380,"willow",298,309
384,"fir",231,249
390,"oak",184,178
394,"oak",265,274
396,"willow",212,214
423,"willow",234,242
424,"oak",407,423
425,"willow",242,255
430,"willow",326,338
435,"willow",197,207
439,"oak",420,436
457,"oak",413,423
460,"oak",410,425
461,"fir",199,217
463,"willow",154,165
467,"oak",382,390
469,"fir",111,131
474,"willow",271,275
486,"willow",240,249
492,"oak",265,274
502,"oak",399,404
505,"willow",218,226
506,"willow",260,266
512,"fir",162,177
514,"fir",260,285
516,"willow",244,255
541,"willow",215,219
545,"oak",310,307
567,"fir",223,235
586,"oak",321,332
596,"fir",159,173
599,"fir",113,129
602,"willow",194,208
603,"fir",38,57
610,"fir",25,45
611,"willow",191,201
624,"willow",337,341
627,"fir",226,245
629,"fir",-38,-10
635,"fir",285,280
640,"fir",31,44
642,"willow",358,368
645,"willow",373,384
649,"willow",298,309
667,"oak",287,300
670,"fir",79,95
678,"fir",194,217
681,"willow",296,301
688,"oak",207,200
690,"willow",270,280
696,"willow",324,334
697,"willow",221,226
705,"willow",279,291
719,"oak",404,402
726,"willow",206,215
727,"fir",134,125
737,"willow",269,278
742,"oak",233,241
768,"willow",235,244
774,"oak",171,186
781,"willow",277,280
787,"willow",245,258
790,"willow",247,253
799,"oak",326,344
819,"fir",196,214
821,"willow",298,300
825,"oak",386,399
826,"willow",182,187
828,"willow",241,254
832,"oak",355,349
833,"willow",252,250
838,"willow",190,197
846,"willow",323,331
862,"fir",76,97
868,"oak",362,372
876,"willow",245,253
882,"fir",244,264
889,"fir",215,229
891,"willow",230,239
894,"willow",371,375
895,"fir",-5,NA
906,"fir",261,284
913,"fir",111,134
916,"willow",253,257
920,"oak",380,392
924,"oak",470,489
930,"oak",392,398
936,"fir",232,250
944,"willow",224,228
961,"fir",117,136
965,"oak",392,406
974,"willow",282,274
977,"oak",425,443
985,"oak",315,326
992,"willow",190,200
1001,"oak",264,273
1013,"willow",287,294
1020,"willow",248,254
1029,"willow",252,260
1044,"oak",339,354
1051,"oak",371,378
1053,"willow",130,139
1054,"willow",283,291
1058,"fir",359,385
1067,"fir",230,246
1071,"fir",229,251
1090,"willow",386,400
1106,"fir",392,412
1109,"oak",365,375
1114,"fir",117,111
1121,"willow",331,325
1124,"fir",116,139
1128,"fir",25,18
1137,"willow",238,243
1144,"fir",111,125
1145,"fir",243,272
1155,"oak",233,244
1165,"oak",413,423
1182,"willow",257,273
1184,"willow",291,290
1189,"fir",161,181
1209,"willow",274,269
1210,"fir",273,289
1220,"fir",275,299
1223,"fir",71,88
1229,"oak",500,518
1232,"fir",176,197
1236,"fir",189,214
1245,"willow",275,268
1247,"willow",210,217
1248,"willow",187,196
1249,"oak",483,489
1256,"willow",207,218
1269,"fir",212,240
1279,"fir",227,253
1288,"willow",279,283
1289,"fir",279,302
1302,"oak",374,386
1305,"oak",374,387
1315,"fir",56,80
1316,"fir",398,414
1318,"oak",335,355
1319,"fir",225,247
1327,"fir",-97,-82
1341,"oak",261,267
1342,"fir",256,267
1344,"oak",255,244
1349,"fir",238,262
1350,"fir",313,334
1357,"fir",196,216
1360,"fir",150,172
1363,"fir",98,116
1368,"oak",284,292
1369,"fir",127,151
1374,"willow",213,211
1381,"willow",215,220
1390,"fir",273,295
1393,"fir",265,284
1397,"willow",355,349
1398,"oak",254,264
1400,"willow",311,316
1403,"fir",-7,10
1405,"willow",274,286
1411,"willow",212,221
1418,"oak",417,427
1447,"fir",33,60
1451,"fir",125,130
1458,"oak",208,212
1471,"oak",417,432
1478,"oak",209,221
1481,"oak",448,458
1482,"fir",132,146
1493,"willow",151,161
1497,"willow",259,268
1499,"fir",120,144
1503,"fir",68,86
1513,"willow",242,252
1526,"willow",247,254
1527,"fir",111,128
1531,"fir",152,148
1536,"willow",316,310
1538,"fir",130,144
1540,"fir",228,244
1559,"fir",107,122
1568,"oak",361,373
1569,"oak",371,382
1573,"fir",93,104
1575,"willow",252,257
1576,"oak",300,309
1587,"oak",521,534
1599,"willow",254,260
1600,"oak",369,381
