"tree_id","species","height_baseline","height_final"
4,"oak",437,445
5,"willow",196,209
6,"oak",278,291
14,"oak",353,365
36,"oak",188,198
42,"willow",251,260
64,"willow",271,281
65,"oak",264,274
67,"oak",155,162
69,"willow",176,186
70,"oak",260,273
78,"oak",321,332
79,"fir",184,208
84,"fir",243,258
90,"willow",245,257
95,"oak",372,388
97,"oak",285,298
102,"oak",401,408
107,"willow",250,260
108,"oak",234,243
116,"fir",157,142
122,"willow",221,228
133,"oak",317,335
159,"oak",310,322
164,"willow",267,270
176,"oak",452,456
182,"oak",184,193
184,"fir",54,67
206,"fir",148,164
217,"fir",273,252
218,"oak",296,307
219,"willow",237,245
221,"willow",284,292
225,"fir",274,302
229,"oak",348,363
241,"willow",199,204
244,"fir",282,300
245,"oak",332,338
249,"oak",283,293
253,"fir",81,96
262,"fir",251,268
265,"willow",360,379
269,"oak",324,332
270,"oak",372,387
273,"willow",141,145
274,"fir",185,208
278,"fir",63,77
284,"oak",408,421
297,"fir",236,255
304,"oak",399,414
305,"oak",204,211
306,"oak",362,373
316,"willow",250,260
336,"willow",227,229
340,"fir",147,172
352,"fir",44,63
354,"fir",163,181
371,"willow",307,319
374,"oak",167,187
382,"oak",377,381
405,"oak",319,335
415,"fir",71,95
421,"fir",74,96
427,"willow",314,320
434,"oak",306,320
436,"oak",359,371
440,"willow",251,254
444,"oak",335,347
445,"fir",235,253
446,"fir",198,210
447,"willow",269,281
448,"willow",206,220
451,"oak",262,276
454,"willow",247,253
466,"fir",126,114
468,"willow",275,282
472,"oak",270,280
480,"willow",236,242
498,"fir",265,288
504,"oak",291,309
508,"willow",237,244
509,"willow",248,256
519,"fir",359,374
520,"oak",228,245
525,"fir",213,233
548,"oak",399,412
550,"willow",198,205
555,"fir",373,391
560,"willow",238,247
569,"willow",274,281
594,"oak",311,296
600,"fir",344,365
607,"oak",181,193
613,"willow",278,289
614,"willow",290,294
616,"willow",284,291
618,"willow",302,303
621,"oak",382,390
632,"oak",315,320
641,"oak",408,415
647,"oak",273,279
648,"willow",262,271
651,"willow",249,245
655,"fir",117,138
656,"fir",246,278
661,"oak",329,343
665,"willow",315,325
669,"willow",226,231
675,"oak",277,286
676,"willow",217,231
685,"oak",325,342
689,"fir",127,150
703,"oak",343,357
704,"oak",410,420
706,"willow",247,251
711,"oak",307,319
712,"fir",190,205
720,"oak",386,402
728,"willow",222,234
731,"fir",49,66
732,"fir",88,108
733,"willow",256,263
735,"oak",286,304
744,"willow",251,258
745,"oak",424,432
747,"fir",323,343
752,"willow",294,300
755,"fir",176,196
763,"fir",159,175
764,"oak",292,304
769,"willow",281,268
786,"fir",46,69
788,"willow",197,205
789,"willow",258,268
792,"oak",281,298
794,"fir",75,96
797,"fir",315,292
806,"oak",423,435
813,"fir",32,7
822,"willow",245,253
827,"oak",257,262
841,"fir",84,104
843,"fir",157,175
847,"oak",263,273
848,"oak",405,415
849,"oak",276,287
853,"oak",314,NA
854,"fir",71,90
857,"willow",260,268
858,"willow",279,287
866,"oak",272,282
869,"oak",392,408
872,"fir",24,49
880,"willow",210,217
885,"oak",364,374
887,"oak",435,452
893,"fir",212,230
905,"willow",217,219
910,"fir",77,104
925,"willow",233,241
926,"willow",238,242
929,"oak",318,321
942,"willow",300,312
947,"fir",111,89
952,"oak",262,274
954,"fir",69,92
956,"willow",263,270
969,"oak",323,338
971,"oak",288,305
976,"willow",289,292
983,"willow",248,250
991,"fir",202,225
994,"oak",239,248
999,"willow",192,203
1003,"oak",428,437
1004,"fir",197,216
1008,"willow",248,253
1028,"willow",272,285
1037,"willow",232,236
1038,"willow",181,184
1043,"willow",236,241
1047,"fir",341,352
1070,"fir",249,270
1083,"willow",278,290
1098,"willow",275,285
1100,"fir",174,198
1104,"willow",317,325
1111,"willow",243,248
1112,"willow",255,267
1115,"fir",37,45
1117,"oak",281,294
1118,"fir",105,122
1130,"willow",403,409
1134,"fir",205,226
1141,"willow",200,204
1148,"oak",343,359
1156,"oak",335,347
1161,"oak",235,255
1164,"oak",288,300
1172,"fir",-8,23
1183,"oak",233,247
1191,"fir",271,284
1195,"oak",268,283
1199,"willow",265,267
1202,"fir",37,51
1219,"oak",373,385
1239,"fir",201,212
1241,"willow",208,207
1243,"willow",189,199
1254,"oak",345,350
1260,"willow",272,269
1270,"fir",172,185
1274,"oak",223,220
1276,"willow",210,221
1278,"willow",227,236
1286,"fir",182,202
1298,"willow",167,172
1309,"oak",402,419
1311,"oak",377,391
1312,"fir",252,242
1329,"oak",199,205
1354,"willow",239,253
1358,"oak",371,380
1362,"oak",405,414
1364,"oak",235,249
1371,"willow",293,297
1383,"fir",69,81
1384,"fir",250,272
1391,"fir",221,237
1396,"oak",472,491
1409,"willow",193,203
1412,"fir",232,260
1419,"oak",373,381
1422,"oak",305,313
1423,"fir",118,132
1425,"fir",246,259
1430,"fir",123,143
1432,"fir",268,292
1435,"willow",333,344
1436,"oak",263,277
1437,"fir",90,85
1450,"oak",286,306
1452,"fir",259,283
1454,"willow",211,215
1456,"oak",380,398
1457,"fir",151,169
1461,"oak",334,343
1462,"fir",298,318
1469,"fir",212,235
1473,"oak",464,475
1477,"fir",201,232
1479,"oak",246,256
1485,"willow",259,271
1489,"oak",457,468
1490,"willow",269,279
1491,"fir",250,271
1492,"fir",260,281
1504,"oak",276,291
1532,"oak",311,330
1537,"oak",325,334
1543,"willow",154,151
1546,"willow",335,342
1548,"willow",300,309
1550,"willow",217,228
1551,"willow",218,229
1563,"oak",547,563
1565,"oak",553,567
1589,"fir",234,262
1594,"oak",347,356
1596,"fir",246,262
1597,"oak",371,381
